,Reviews,Rating,Company
64,"Have a large brain aneurysm, so no prior authorization for surgery required. Able to get surgery within 7 days. They sent me 7 days of meals, called and checked on me on day 3. Paid the bill within 45 days. I was terrified over the whole issue of this type of surgery and costs, but their handling of it was A+. My costs were reasonable. Thank you Humana.",5,Humana
65,"I spoke with at least 10 people for 3 hours to simply log on to my account so that I could print up my cards, which I never received in the mail. I was met by rude technical assistant personnel and no one was able to help me. One person even tried to use the ""I'm losing you"" ""hello are you still there"". Mind you I was not on a cell phone - how lame is that. Horrible service. If I could cancel my plan on today I would!! I will never recommend Humana Vision to anyone and I will be changing my service when I am able. Don't waste your time with a company filled with people who can't or won't help!",1,Humana
66,"Also, I got a bill saying I had not been authorized to go to a neurologist so I am responsible for the full payment. I have never been seen by a neurologist. The primary care doctor's office tells me they have more trouble with Humana than any other insurance company.",1,Humana
67,"I called Humana to see if I need a referral. After putting in all the information and waiting for over 10 minutes for the process, opps can run it. Ask for a representative, finally spoke to someone and was told no referral needed. Asked for benefits line, sent me to rx benefits. After knowing I was calling about a surgery with my specialists, she goes through everything and ""Oops can't help you. Only rx benefits. Let me transfer you."" I get transferred to someone else which I think is the benefits for providers instead because they were talking and hitting buttons on the phone like crazy. I asked them to stop hitting buttons, ""Was not me. I was on speaker phone,"" and then they hung up on me. This is after spending over 40 minutes on the phone and know I have to start all over again.",1,Humana
68,My mother was contacted by an insurance agent about a cheaper insurance. All that she was told was that she would save $120 a month. Her supplemental was $160.00. She signed up for this not knowing or having it explained to her that this was not a supplemental insurance. She was recently hospitalized and this is when we learned. Now because of this she has not supplemental and left with a copay on her hospitalization. Do not get this insurance.,1,Humana
69,"My elderly mother has been scammed by Humana of Tennessee. She had the best insurance available for her age through my Dad's retirement plan. WHICH HE WORKED LONG AND HARD FOR! During open enrollment with BCBS of Tennessee we made no changes to her plan. She went to the doctor and they told her she no longer had BCBS. She had Humana. She said, ""I don't want Humana."" She has no recollection of talking with or communicating with Humana! They say they have her electronic signature. She does not own a computer and could not even log on or turn it on if she did!",1,Humana
70,"When I moved to Ohio in September of 2017 I had to change my Humana plan. The sales person on the phone asked if I was a veteran. She explained that the plan for veterans was better for me than the plan I had before my move. She asked if I had dentures and explained that because I did the plan offered ""a free denture reline once a year. Towards the end of 2018 I decided to take advantage of this option. Upon giving the dental office my Humana card they provided me with an estimate due to my coverage that showed that everything was covered completely. AFTER the reline I got a bill from Humana showing my ""free"" denture reline was only going to cost me $350.00. In the fine print that was not explained in any way it states that ""a free denture reline is exactly ""a"" one plate, not upper and lower. They were also considerate enough to pay for the cheaper of the two plates.",1,Humana
71,"I am a type 1 Brittle Diabetic. My prior insurance company, which was also a Medicare plan, approved my insulin and pump. At the first of the year I switched to Humana. First off they denied my insulin, a prior authorization was done and it was denied again. Then they denied my pump supplies. At this point not only was my doctor's office working on this, so was I. I am going on almost 3 months now with NO INSULIN! If it wasn't for My endocrinologist and her office supplying me with samples, I would be dead. ",1,Humana
72,I've been with Humana 8 years and never had 1 problem until now. I order all 5 of my meds 90 day mail order. Their new policy is only 30 day max supply of ** which I will need the rest of my life due to severe anxiety. That makes me pay 3 copays of $17 ea month instead of $19 for 3 months. I'm on a fixed income and every $ counts nowadays. They have figured a way to make 3x as much...what a shame! I now get 180 3 month supply from Walmart for $16 using GoodRX.,1,Humana
73,"Company doesn't pay claims. Company doesn't answer the phone (when they do they are people who don't speak clear English and the connection is poor). No matter what question I have I never seem to be in the correct department and cannot call this company without spending at least an hour on the phone, of this hour I spend 45 minutes on hold or TRANSFERRED. Employees don't know anything about insurance and have a million excuses for everything. Pay your claims.",1,Humana
74,"Rec'd a call to have expired RX refilled. had to give all information to automated voice. Waited for rep, explained that I need to update DR info as I have a new Dr. After giving all info again, she said she couldn't do it and had to transfer me to another Dept. Transferred, gave all info and that person said she couldn't do it, that I had a different group plan so she would have to transfer me. Waited again... on phone 23 min, got disconnected. They had my number in case disconnected, but didn't call back. Got on line to try to change Dr. info. ""Chatted"" typed, with rep. after typing for another 20 min, she said she had to transfer me. I told her my Dr. information and asked her to contact whatever Dept needed it, that I was finished after being on phone and computer for 45 min. Unbelievable that they couldn't just take the Dr. name and put in in computer. AND one of my pet peeves is that you have to give your information over and over again.",1,Humana
75,"TRICARE has now a contact with Humana for all off base referrals. I got a referral from my doctor (military base) the middle of December 2018. It is now end of January 2019 and I am yet to be seen by a specialist. Humana keeps denying my referral saying my info is incomplete. My doctor and nurses have been sending information after information in to Humana without success. I have been calling Humana’s customer service. The people who work the phones are overwhelmed, rude and noncaring. Humana is by far the worst choice TRICARE could go with.",1,Humana
76,"On January 21, 2019, Enrollment Department trainer, Rebecca **, in Tempe, AZ, used live patient records (mine for instance) instead of demos to train enrollment department representatives. I discovered this when I received an unsolicited welcome to the plan. I discovered that they had added a physician's name, whom I never heard of, and a powerful drug, which I do not take! To my records. Several hours after being notified that they did this, they had done nothing to remove the offending employee or audit their records to see how many others' private medical records had been exposed without consent.",1,Humana
77,"You know what they say, ""the bottom rises to the top,"" as in SCUM. Just check out the contacts at their ""bored"", oh, I mean, ""board"" of directors, and try to email them, you can't now... Last time I did about their non-payment of my claim, after several calls to their ehmmm ""customer service"" folks (that of course leads to delay and constant frustration), I was called back by more than a hidden threat, as the man said, our ""business model,"" was to my distaste. Don't let the fancy credentials fool you, this group is profit minded, that's it, are you kidding me? They don't even try to hide it now... It's out there.",1,Humana
78,"I called 3 times this week and was put on hold because all the CSRs are helping other people. 90 minutes I held on and gave up. Either they have 2 people answering phones of they are so incompetent that they are flooded. Anyway, DO NOT TRUST THEIR Rx program. They messed up my coverage so I had to pay out of pocket. Finally after 2 months someone saw their lack of paying attention to detail. So my coverage is good. Now to get my money back, I as a disabled person am told I have to got to the different pharmacies to collect paperwork. How about I break both your legs and demand you make it through a Marine Corps Recruit Depot to get your money and life back? Kind of hard. Humana lacks the Human in their Fake Name.",1,Humana
79,My husband and I just moved to Florida six months ago and were told by a broker that Humana is a popular insurance in our area. We are meeting with someone this morning about changing to a different company. We should have read the reviews before committing to Humana. If you can get through to a representative you can be sure they will give you false information. They are poorly trained and don't know anything. While looking for a new physician I called to see if his office was in network. They told me no when in fact he is.,1,Humana
80,"My daughter has only been on Humana since the 1st and I have already made countless frustrating, phone calls. She was assigned a PCP that is closed, her daily med has been denied that she needs to manage her autoimmune disease. I am out money on a Dr visit even though I followed their instructions on how to go and submit authorization number. These people act like they care about you when you speak to them on the phone, but their actions prove they wish to deny claims and requests at all costs no matter how much it hurts the health of the patient. I have canceled this plan for a new plan starting in February.",1,Humana
81,"If I could give Humana less than one star I would. None of their customer service reps know what they are doing. They are poorly trained and they ALL have very heavy accents. It is impossible to understand them and I literally have to call multiple times to have the same conversation over and over because I can't understand most of their reps. They also give out inaccurate information. They'll tell me something is covered, and then I found out later that it isn't... Leading to hundreds of dollars in bills that I shouldn't have had to pay. I needed to have surgery but I was afraid to do it while I was on Humana because everything they tell me about coverage is incorrect. It was impossible to estimate the cost of surgery (and I know they'll find any excuse or bizarre rule to get out of paying for things), and I was terrified that if I had the surgery I'd end up with an enormous bill.",1,Humana
82,"If you need a prior authorization, it will take an army to get it approved! Beware! Your life depends on medications that require prior authorizations! Run from this company! They will cost you money in the long run! Don’t be fooled!",1,Humana
83,Am just starting with Humana Medicare for 2019. I am taking chemo tx for breast cancer and they give me nausea medicine. Humana says they looked at surveys that say the type of chemo drug I am having infused has a lower risk for nausea and vomiting so they will not pay. So with my concerns about my cancer now I will take my chemo without preventive nausea medicine. I had heard Humana was a good company but this is terrible. I will have to try and find some over the counter medicine.,1,Humana
84,"I've been a Humana member for years, paying by automatic withdrawal. Suddenly that stopped and I was billed by main for two months overdue. I got that paid over the phone, but have been unable to get my account set back to auto pay. This is because I can find the card that has my member ID on it. I've tried several of their phone lines, but their phone tree doesn't work for this. I've tried chat and almost got through, but there is no space for me to type my chat response. How about hiring a real human for some customer service?",1,Humana
85,"Surgery was scheduled, was preauthorized. Dr.'s office has the name of the individual that provided the preauthorization, the date it was given and the time it was provided. The night before the surgery we got a phone call from the Dr.'s office stating that the insurance company had called and said they were canceling the preauthorization. I wouldn't recommend Humana to my worst enemy.",1,Humana
86,I broke my foot 18 days ago. It was a weekend so I contacted Humana and they told me which urgent care to see. I sat there for 45 minutes to find out they no longer accept my insurance. Went to the ER to find out that fractured all the bones on the outside of my foot. They told me to see an orthopedic surgeon within 2-3 days. I saw my primary doctor that Monday. He did an urgent referral to an orthopedic surgeon. That Wednesday my referral was denied because Humana said I had changed primary doctors. Which I had not! So I contacted Humana and got that squared away. My doctor put in another urgent referral. It took a week for the authorization. I was told which orthopedic surgeon to contact. I called to find out they no longer accept Humana. ,1,Humana
87,"I went to emergency dept in my network after Urgent care informed me to. I was having chest pain, left arm numbness and pain. I thought it was a stroke or heart attack. So grateful to still be here. Anyway, Humana denied paying the medical bill for emergency dept that is $15,476.00. Wow. I had never had any problem before with Humana. My primary doctor and Urgent care say I did the right thing by going to ED. Humana still insist it wasn't an emergency so now I am appealing this. Humana is saying Urgent Care should have taken care of me. I definitely need to find another health Insurance.",1,Humana
